score,repay,group
52,TRUE,blue
54,TRUE,blue
55,TRUE,blue
56,TRUE,blue
57,TRUE,blue
57,TRUE,blue
58,TRUE,blue
58,TRUE,blue
59,TRUE,blue
59,TRUE,blue
59,TRUE,blue
60,TRUE,blue
60,TRUE,blue
60,TRUE,blue
61,TRUE,blue
61,TRUE,blue
61,TRUE,blue
61,TRUE,blue
62,TRUE,blue
62,TRUE,blue
62,TRUE,blue
62,TRUE,blue
62,TRUE,blue
63,TRUE,blue
63,TRUE,blue
63,TRUE,blue
63,TRUE,blue
63,TRUE,blue
63,TRUE,blue
64,TRUE,blue
64,TRUE,blue
64,TRUE,blue
64,TRUE,blue
64,TRUE,blue
64,TRUE,blue
65,TRUE,blue
65,TRUE,blue
65,TRUE,blue
65,TRUE,blue
65,TRUE,blue
65,TRUE,blue
65,TRUE,blue
66,TRUE,blue
66,TRUE,blue
66,TRUE,blue
66,TRUE,blue
66,TRUE,blue
66,TRUE,blue
66,TRUE,blue
66,TRUE,blue
67,TRUE,blue
67,TRUE,blue
67,TRUE,blue
67,TRUE,blue
67,TRUE,blue
67,TRUE,blue
67,TRUE,blue
67,TRUE,blue
68,TRUE,blue
68,TRUE,blue
68,TRUE,blue
68,TRUE,blue
68,TRUE,blue
68,TRUE,blue
68,TRUE,blue
68,TRUE,blue
69,TRUE,blue
69,TRUE,blue
69,TRUE,blue
69,TRUE,blue
69,TRUE,blue
69,TRUE,blue
69,TRUE,blue
69,TRUE,blue
69,TRUE,blue
70,TRUE,blue
70,TRUE,blue
70,TRUE,blue
70,TRUE,blue
70,TRUE,blue
70,TRUE,blue
70,TRUE,blue
70,TRUE,blue
71,TRUE,blue
71,TRUE,blue
71,TRUE,blue
71,TRUE,blue
71,TRUE,blue
71,TRUE,blue
71,TRUE,blue
71,TRUE,blue
72,TRUE,blue
72,TRUE,blue
72,TRUE,blue
72,TRUE,blue
72,TRUE,blue
72,TRUE,blue
72,TRUE,blue
72,TRUE,blue
73,TRUE,blue
73,TRUE,blue
73,TRUE,blue
73,TRUE,blue
73,TRUE,blue
73,TRUE,blue
73,TRUE,blue
73,TRUE,blue
74,TRUE,blue
74,TRUE,blue
74,TRUE,blue
74,TRUE,blue
74,TRUE,blue
74,TRUE,blue
74,TRUE,blue
75,TRUE,blue
75,TRUE,blue
75,TRUE,blue
75,TRUE,blue
75,TRUE,blue
75,TRUE,blue
76,TRUE,blue
76,TRUE,blue
76,TRUE,blue
76,TRUE,blue
76,TRUE,blue
76,TRUE,blue
77,TRUE,blue
77,TRUE,blue
77,TRUE,blue
77,TRUE,blue
77,TRUE,blue
78,TRUE,blue
78,TRUE,blue
78,TRUE,blue
78,TRUE,blue
79,TRUE,blue
79,TRUE,blue
79,TRUE,blue
80,TRUE,blue
80,TRUE,blue
80,TRUE,blue
81,TRUE,blue
81,TRUE,blue
82,TRUE,blue
82,TRUE,blue
83,TRUE,blue
84,TRUE,blue
85,TRUE,blue
87,TRUE,blue
12,FALSE,blue
14,FALSE,blue
15,FALSE,blue
16,FALSE,blue
17,FALSE,blue
17,FALSE,blue
18,FALSE,blue
18,FALSE,blue
19,FALSE,blue
19,FALSE,blue
19,FALSE,blue
20,FALSE,blue
20,FALSE,blue
20,FALSE,blue
21,FALSE,blue
21,FALSE,blue
21,FALSE,blue
21,FALSE,blue
22,FALSE,blue
22,FALSE,blue
22,FALSE,blue
22,FALSE,blue
22,FALSE,blue
23,FALSE,blue
23,FALSE,blue
23,FALSE,blue
23,FALSE,blue
23,FALSE,blue
23,FALSE,blue
24,FALSE,blue
24,FALSE,blue
24,FALSE,blue
24,FALSE,blue
24,FALSE,blue
24,FALSE,blue
25,FALSE,blue
25,FALSE,blue
25,FALSE,blue
25,FALSE,blue
25,FALSE,blue
25,FALSE,blue
25,FALSE,blue
26,FALSE,blue
26,FALSE,blue
26,FALSE,blue
26,FALSE,blue
26,FALSE,blue
26,FALSE,blue
26,FALSE,blue
26,FALSE,blue
27,FALSE,blue
27,FALSE,blue
27,FALSE,blue
27,FALSE,blue
27,FALSE,blue
27,FALSE,blue
27,FALSE,blue
27,FALSE,blue
28,FALSE,blue
28,FALSE,blue
28,FALSE,blue
28,FALSE,blue
28,FALSE,blue
28,FALSE,blue
28,FALSE,blue
28,FALSE,blue
29,FALSE,blue
29,FALSE,blue
29,FALSE,blue
29,FALSE,blue
29,FALSE,blue
29,FALSE,blue
29,FALSE,blue
29,FALSE,blue
29,FALSE,blue
30,FALSE,blue
30,FALSE,blue
30,FALSE,blue
30,FALSE,blue
30,FALSE,blue
30,FALSE,blue
30,FALSE,blue
30,FALSE,blue
31,FALSE,blue
31,FALSE,blue
31,FALSE,blue
31,FALSE,blue
31,FALSE,blue
31,FALSE,blue
31,FALSE,blue
31,FALSE,blue
32,FALSE,blue
32,FALSE,blue
32,FALSE,blue
32,FALSE,blue
32,FALSE,blue
32,FALSE,blue
32,FALSE,blue
32,FALSE,blue
33,FALSE,blue
33,FALSE,blue
33,FALSE,blue
33,FALSE,blue
33,FALSE,blue
33,FALSE,blue
33,FALSE,blue
33,FALSE,blue
34,FALSE,blue
34,FALSE,blue
34,FALSE,blue
34,FALSE,blue
34,FALSE,blue
34,FALSE,blue
34,FALSE,blue
35,FALSE,blue
35,FALSE,blue
35,FALSE,blue
35,FALSE,blue
35,FALSE,blue
35,FALSE,blue
36,FALSE,blue
36,FALSE,blue
36,FALSE,blue
36,FALSE,blue
36,FALSE,blue
36,FALSE,blue
37,FALSE,blue
37,FALSE,blue
37,FALSE,blue
37,FALSE,blue
37,FALSE,blue
38,FALSE,blue
38,FALSE,blue
38,FALSE,blue
38,FALSE,blue
39,FALSE,blue
39,FALSE,blue
39,FALSE,blue
40,FALSE,blue
40,FALSE,blue
40,FALSE,blue
41,FALSE,blue
41,FALSE,blue
42,FALSE,blue
42,FALSE,blue
43,FALSE,blue
44,FALSE,blue
45,FALSE,blue
47,FALSE,blue
88,FALSE,blue
35,TRUE,orange
37,TRUE,orange
39,TRUE,orange
40,TRUE,orange
41,TRUE,orange
42,TRUE,orange
43,TRUE,orange
43,TRUE,orange
44,TRUE,orange
44,TRUE,orange
45,TRUE,orange
45,TRUE,orange
46,TRUE,orange
46,TRUE,orange
47,TRUE,orange
47,TRUE,orange
47,TRUE,orange
48,TRUE,orange
48,TRUE,orange
48,TRUE,orange
49,TRUE,orange
49,TRUE,orange
49,TRUE,orange
50,TRUE,orange
50,TRUE,orange
50,TRUE,orange
50,TRUE,orange
51,TRUE,orange
51,TRUE,orange
51,TRUE,orange
51,TRUE,orange
52,TRUE,orange
52,TRUE,orange
52,TRUE,orange
52,TRUE,orange
52,TRUE,orange
53,TRUE,orange
53,TRUE,orange
53,TRUE,orange
53,TRUE,orange
53,TRUE,orange
54,TRUE,orange
54,TRUE,orange
54,TRUE,orange
54,TRUE,orange
54,TRUE,orange
55,TRUE,orange
55,TRUE,orange
55,TRUE,orange
55,TRUE,orange
55,TRUE,orange
56,TRUE,orange
56,TRUE,orange
56,TRUE,orange
56,TRUE,orange
56,TRUE,orange
56,TRUE,orange
57,TRUE,orange
57,TRUE,orange
57,TRUE,orange
57,TRUE,orange
57,TRUE,orange
57,TRUE,orange
58,TRUE,orange
58,TRUE,orange
58,TRUE,orange
58,TRUE,orange
58,TRUE,orange
58,TRUE,orange
59,TRUE,orange
59,TRUE,orange
59,TRUE,orange
59,TRUE,orange
59,TRUE,orange
59,TRUE,orange
60,TRUE,orange
60,TRUE,orange
60,TRUE,orange
60,TRUE,orange
60,TRUE,orange
61,TRUE,orange
61,TRUE,orange
61,TRUE,orange
